Unnamed: 0,Author,Coursename,Last_updated,Lectures,Newfee,Oldfee,Rating,Sections,Time,Topic,Target,_id,Number_of_enroll
11,Lucky Man Official,Thần Số Học Giải Mã Bí Mật Bản Thân,2022-05-17,37,599000.0,599000.0,5.0,6,173,Nghệ Thuật - Đời Sống,"['bạn sẽ tự tin nắm bắt tâm trí và tính cách, điểm mạnh, điểm yếu của bản thân mình người khác, mặc dù chỉ biết được tên của họ.', 'bạn hiểu rõ sứ mệnh của bản thân mình và bài học, thử thách bản thân cần vượt qua để trưởng thành hơn', 'giải quyết các mẫu thuẫn không đáng có, trở thành người đắc nhân tâm trong mắt mọi', 'định hướng nghề nghiệp, hướng đi cho bản thân và nuôi dạy con phù hợp', 'bạn sẽ tự tin học trong kinh doanh, đối xử với cấp trên, cấp dưới, khách hàng, đối tác nhờ việc hiếu thấu tính cách hành vi của một người', 'tìm kiếm và chọn lựa bạn đời phù hợp, nhân sự, đối tác phù hợp trong mối quan hệ', 'bạn có được tấm bản đồ trên hành trình cuộc đời mình và người khác']",66f79d3af050d8d70ad2467b,95
12,Yoga Hiểu Về Sức Khỏe (Yoga HVSK),Yoga cho sức khỏe toàn diện (cấp độ Nâng cao),2022-06-15,15,999000.0,999000.0,5.0,6,819,Thể Thao - Sức Khỏe,"['hướng dẫn tập luyện an toàn để chinh phục các tư thế nâng cao', 'gia tăng kết nối giữa cơ thể và tâm trí, nâng cao sự tập trung và cảm xúc bình an qua từng buổi tập', 'làm mạnh cơ lõi, tăng sức bền, sự linh hoạt và khả năng kiểm soát cơ thể', 'tập luyện nâng cao với những kỹ thuật và định tuyến chính xác, nắm rõ chỉ định và chống chỉ định của từng tư thế']",66f79d3af050d8d70ad2467c,24
13,Trần Thảo Vi,Yoga Cơ Bản Cho Người Mới Bắt Đầu Và Mẹ Sau Sinh,2022-07-04,9,199000.0,199000.0,5.0,3,230,Thể Thao - Sức Khỏe,"['giảm căng tức, căng thẳng, đau nhức ở cơ thể sau khi sinh', 'duy trì sự linh hoạt trong cơ thể, giúp cơ thể phục hồi sức sống.', 'giúp mở rộng nhịp thở và làm dịu tâm trí', 'thư giãn thông qua thiền định', '“đào thải” năng lượng tiêu cực']",66f79d3af050d8d70ad2467d,18
14,Lâm Quang Thư,"HỒI PHỤC TẬN GỐC TIỂU ĐƯỜNG, THỪA CÂN, TIM MẠCH CÙNG BÁC SĨ DOC",2024-07-09,31,499000.0,499000.0,5.0,6,133,Thể Thao - Sức Khỏe,"['phương pháp dinh dưỡng doc – 12 tuần thử thách. - nắm được chương trình “doc 12 tuần thử thách”: chương trình đã áp dụng thành công với hàng trăm ngàn bệnh nhân trên thế giới.', 'đây là chương trình không dùng thuốc, mục tiêu hồi phục tế bào cơ thể sau 12 tuần.', 'áp dụng chuyên biệt cho 3 nhóm đối tượng: tiểu đường, thừa cân, tim mạch.', 'hiểu được những nguyên lý hoạt động nội tiết (hormone), hiện tượng đề kháng insulin,...: từ đó điều chỉnh dinh dưỡng, vận động, tâm thức để có sức khỏe tốt.']",66f79d3af050d8d70ad2467e,47
15,TRAN VUONG ANH,Hòa âm nâng cao dễ như ăn kẹo (cấp độ 1),2022-04-26,22,299000.0,299000.0,5.0,6,174,Âm Nhạc,"['bạn sẽ biết cách xác định bộ hợp âm của giọng bất kỳ thông qua vòng tròn bậc 5', 'bạn sẽ biết cách sử dụng hợp âm 7 át linh hoạt giúp cho bài hát cuốn hút hơn', 'bạn sẽ biết cách dịch giọng cho bài hát cực đơn giản', 'bạn sẽ trở thành chuyên gia hòa âm cho bất kỳ bài hát nào bạn mong muốn']",66f79d3af050d8d70ad2467f,63
16,Van Nguyen,5 phút cải thiện tư duy tiếng Hàn (5분 한국어 리얼 표현),2022-05-09,22,699000.0,699000.0,5.0,3,117,Ngoại Ngữ,"['thông qua khoá học, các bạn có thể khám phá thêm nhiều điều thú vị về:', '1. cách tư duy của người hàn.', '2. các thành ngữ tục ngữ tiếng hàn thường gặp.', '3. văn hoá giao tiếp nơi công sở, cách sử dụng kính ngữ chuẩn hàn.', '4. những nhầm lẫn hay gặp phải khi nói tiếng hàn do tư duy theo kiểu tiếng việt.', '5. những từ vựng và cấu trúc câu mà thậm chí chính người hàn nếu không lưu tâm cũng dễ bị nhầm lẫn do sử dụng theo thói quen.']",66f79d3af050d8d70ad24680,73
17,Huỳnh Mai,Khóa học tiếng Nhật N5,2022-04-29,136,599000.0,599000.0,5.0,3,842,Ngoại Ngữ,"['chi phí rẻ.', 'học mọi lúc mọi nơi.']",66f79d3af050d8d70ad24681,94
18,Huỳnh Mai,Khóa học tiếng Nhật N4,2022-04-29,135,599000.0,599000.0,5.0,3,706,Ngoại Ngữ,"['chi phí rẻ.', 'học mọi lúc mọi nơi.']",66f79d3af050d8d70ad24682,36
19,TRAN VUONG ANH,Kiếm thụ động trên 30 triệu mỗi tháng bằng xây dựng khóa học online,2022-04-26,77,799000.0,799000.0,5.0,11,389,Kinh Doanh - Khởi Nghiệp,"['bạn sẽ biết cách tạo ra khóa học online chuyên nghiệp', 'bạn sẽ kiếm tiền thụ động từ những kiến thức bạn có', 'bạn sẽ biết cách sử dụng công cụ biên tập video chuyên nghiệp', 'bạn sẽ biết những bí quyết tạo khóa học hiệu quả']",66f79d3af050d8d70ad24683,59
20,TRAN VUONG ANH,Trở thành chuyên gia hòa âm cho bài hát cực đơn giản.,2022-04-18,34,299000.0,299000.0,5.0,7,220,Âm Nhạc,"['bạn sẽ biết được tất cả hợp âm trong 1 âm giai (trưởng, thứ)', 'bạn sẽ biết cách xác định được vị trí nào nên đặt hợp âm', 'bạn sẽ biết sử dụng hợp âm linh hoạt và hấp dẫn', 'bạn sẽ biết cách tạo ra sự dịch chuyển của âm thanh', 'bạn sẽ tạo ra được rất nhiều bản hòa âm cho 1 bài hát']",66f79d3af050d8d70ad24684,81
21,Đặng Thế Lân,Khóa học để trở thành Barista dành cho du học sinh,2022-04-22,31,899000.0,899000.0,5.0,8,135,Nghệ Thuật - Đời Sống,"['tự tin tìm việc barista tại các nước australia, new zealand và canada v.v', 'phân biệt các giống loại cà phê ,cấp độ rang và các phương pháp sơ chế cà phê phổ biến nhất hiện nay', 'làm chủ các kỹ năng barista ( thao tác chiết xuất espresso, canh chỉnh máy pha,máy xay và đánh sữa)', 'kinh nghiệm viết cv và xin việc barista ( pha chế cà phê) tại úc, canada và new zealand', 'kiến thức về menu cà phê úc và phương pháp pha chế ( latte, cappucino, flat white, long black v.v)', 'làm chủ các thao tác tạo hình nghệ thuật trên tách cà phê ( latte art)', 'tạo hình căn bản tim và tim vân.']",66f79d3af050d8d70ad24685,53
22,Edumall,Học guitar đệm hát cấp tốc trong 30 ngày,2024-08-16,77,399000.0,699000.0,4.7,6,358,Âm Nhạc,"['nắm vững nhạc lý: cách đọc tọa độ, bấm hợp âm, tiết tấu; cách rải âm và quạt chả.', 'thành thạo các điệu cơ bản: surf nhanh - chậm, disco, blue, ballad, fox, valse, bolero, slow rock,...', 'thành thạo cách dò các nhịp, điệu của một bài hát, bắt nhịp và chọn điệu, bắt tông cho ca sĩ, đánh intro và outro, tìm hợp âm chuẩn,...', 'biết cách chọn đàn sao cho phù hợp với mục đích, túi tiền và phong cách nhưng vẫn phải đảm bảo những yêu tố thiết yếu.']",66f79d3af050d8d70ad24686,45
23,Sophie Hà Nguyễn,"Mặc đẹp toả sáng, tôn vinh dáng người",2023-10-30,34,399000.0,1249000.0,5.0,6,200,Nghệ Thuật - Đời Sống,"['hiểu về phom dáng - chìa khoá vàng để mặc đẹp.', 'biết 5 phom dáng của phái đẹp - bạn thuộc phom dáng nào?', 'áp dụng 50 bí quyết vàng để mặc đẹp toả sáng, tôn vinh dáng người.', 'trở thành phiên bản thanh lịch và thu hút nhất của chính mình.', 'toả sáng - là stylish của chính mình.']",66f79d3af050d8d70ad24687,23
24,Leo Minh,Nhập môn Social Content cho người mới bắt đầu,2022-03-01,30,499000.0,499000.0,5.0,6,286,Marketing,"['bạn sẽ được học được phương pháp và quy trình viết content bán hàng thu hút.', 'bạn sẽ hiểu rõ các checklist công việc của một nhân sự content social', 'bạn sẽ tự tin nhận các job content cho công ty, hoặc làm freelancer', 'bạn sẽ có thể tự quản lý và phát triển team content social từ a-z', 'bạn sẽ có tư duy xây dựng chiến lược content bán hàng hiệu quả.', 'bạn sẽ sở hữu ebook content marketing độc quyền atp.']",66f79d3af050d8d70ad24688,74
26,Yoga By Sophie,Yoga Nâng cao cùng Sophie,2022-03-01,18,899000.0,899000.0,5.0,6,831,Thể Thao - Sức Khỏe,"['bạn sẽ học được cách thực hiện 16 tư thế yoga nâng cao theo định tuyến an toàn của hiệp hội yoga alliance (mỹ).', 'bạn sẽ tự tin phiêu theo các chuỗi vinyasa yoga.', 'bạn sẽ tự tin hơn khi tham gia các lớp yoga ngoài cộng đồng.', 'bạn sẽ hiểu được một trong những mục đích cuối cùng của thực hành asanas là để cảm nhận cơ thể một cách sâu sắc.']",66f79d3af050d8d70ad2468a,87
27,Yoga By Sophie,Yoga Cơ Bản từ A đến Z,2022-03-17,28,299000.0,799000.0,4.9,5,823,Thể Thao - Sức Khỏe,"['sau khi hoàn thành khóa học, học viên sẽ nắm vững phương pháp tự tập yoga an toàn và hiệu quả.', 'học viên sẽ tự tin tập yoga tại nhà hoặc tham gia các lớp cộng đồng.', 'học viên sẽ có được kiến thức và phương pháp tập yoga xoay quanh 10 chủ đề phổ biến nhất.', 'học viên sẽ am hiểu về cơ thể của mình và biết cách sử dụng các dụng cụ hỗ trợ khi tập yoga như gạch, dây, khăn...']",66f79d3af050d8d70ad2468b,73
28,Nguyễn Ngọc Thạch,Content Vạn Người Like,2024-08-21,20,599000.0,800000.0,4.9,4,103,Marketing,"['hiểu về cảm xúc của con người và viết ra những bài viết chạm được cảm xúc đó.', 'biết cách mở đầu một bài viết mà bất kỳ ai lướt qua cũng dừng lại đọc.', 'biết cảnh triển khai thân bài làm sao để hấp dẫn không thể ngừng.', 'biết cách kết thúc bài viết để người ta phải bật cười, bật khóc hoặc phải suy nghĩ / tag bạn bè vào đọc chung.']",66f79d3af050d8d70ad2468c,79
29,Huỳnh Thạch Thảo (Aster English),Tiếng Anh chuyên ngành xây dựng cơ bản,2022-03-07,21,699000.0,699000.0,5.0,4,466,Ngoại Ngữ,"['khóa học sẽ giúp bạn xây dựng nền tảng tiếng anh vững chắc về ngữ pháp, từ vựng và cách giao tiếp trong công việc thực tế liên quan đến chuyên ngành xây dựng.', 'bạn sẽ được nâng cao khả năng đọc hiểu, nghe và dịch tiếng anh thông qua các đoạn hội thoại được xây dựng sát với thực tế công việc.', 'anh chị sẽ tự tin hơn trong việc giao tiếp tiếng anh với đồng nghiệp nơi công trường và các văn phòng tại công trường.']",66f79d3af050d8d70ad2468d,37
30,Hoàng Hà,"Tử Vi - Đệ Nhất Thần Số: Giải đoán giàu nghèo thọ yểu, vận mệnh đời người",2022-05-30,35,1199000.0,1199000.0,5.0,4,289,Nghệ Thuật - Đời Sống,"['biết năm nào làm ăn phát tài để giàu có.', 'biết năm nào xấu để tránh hạn, chờ thời.', 'biết điểm mạnh điểm yếu của bản thân để làm ăn hợp với lĩnh vực nào.', 'biết vợ của mình, con của mình, bố mẹ mình, biết tương lai của mình.', 'biết thiên mệnh: môn học kỳ diệu nghiên cứu về con người, biết cả tuổi thọ của con người.']",66f79d3af050d8d70ad2468e,57
31,Yoga Hiểu Về Sức Khỏe (Yoga HVSK),Yoga cho sức khỏe toàn diện,2022-05-04,15,699000.0,699000.0,4.7,3,644,Thể Thao - Sức Khỏe,"['nắm vững các kỹ thuật nền tảng của yoga.', 'chăm sóc sức khoẻ cá nhân toàn diện.', 'giảm đau mỏi cơ xương khớp.', 'giảm căng thẳng, quân bình cảm xúc và ngủ ngon hơn.', 'hít thở sâu giúp tăng sức mạnh cho hệ hô hấp.', 'tăng sức đề kháng giúp bảo vệ cơ thể.', 'làm mạnh hệ tiêu hoá giúp hấp thu dinh dưỡng hiệu quả, hạn chế hình thành mỡ thừa.']",66f79d3af050d8d70ad2468f,78
32,Hoàng Dũng,Kỹ năng Thuyết trình Chuyên nghiệp và Thực chiến,2022-05-09,24,399000.0,399000.0,5.0,3,130,Phát Triển Bản Thân,"['bạn sẽ biết cách tự tin thuyết trình trước đám đông.', 'bạn sẽ được sở hữu những bí quyết thực chiến tôi đã trải qua để đúc rút và thực hành.', 'bạn sẽ có được những công thức bỏ túi để thuyết trình thu hút và thuyết phục.', 'bạn sẽ sở hữu được cách trình bày thuyết trình hiệu quả nhất.']",66f79d3af050d8d70ad24690,84
33,Nguyễn Công Nguyên,Dựng Video đỉnh cao trên Adobe Premiere (Nâng cao),2024-07-09,31,799000.0,799000.0,5.0,6,200,Nhiếp Ảnh - Dựng Phim,"['tặng +5 intro logo cơ bản trên adobe premiere.', 'tặng +1000 text animation trên adobe premiere.', 'tặng +500 lut màu được phân chia từng thư mục.', 'tặng +300 transitions hay dùng cho phim quảng cáo.', 'tặng +300 sound effect hay dùng cho phim quảng cáo.', 'tặng +300 neon tích hợp trên adobe premiere.', 'tặng +300 vfx youtube trên adobe premiere.', 'tặng bộ chỉnh màu da trên adobe premiere.', 'tặng +5 effect arrow maker dùng cho adobe premiere.', 'tặng +50 call outs graphic motion dùng cho adobe premiere.', 'tặng +2000 bài nhạc nền (background music).', 'cung cấp các plugin đặc biệt giúp dựng phim nhanh trên adobe premiere.']",66f79d3af050d8d70ad24691,69
34,Nguyễn Công Nguyên,Dựng Video chuyên nghiệp trên Adobe Premiere (Cơ bản),2022-04-20,19,299000.0,299000.0,5.0,6,105,Nhiếp Ảnh - Dựng Phim,"['tặng +1000 lut màu được phân chia từng thu mục.', 'tặng bộ lut chỉnh màu da.', 'tặng +500 preset animation, graphic motion text.', 'cung cấp các plugin giúp dựng phim nhanh trên adobe premiere.']",66f79d3af050d8d70ad24692,48
35,Edumall,Luyện đề IELTS WRITING Task 1 Online,2022-03-14,17,499000.0,499000.0,4.0,1,231,Ngoại Ngữ,"['khóa học sẽ giúp học viên rèn luyện thành thạo kỹ năng writing task 1, nắm được cách thức làm bài, được chỉ ra những lỗi sai thường mắc phải cũng như được cung cấp bí kíp để đạt điểm tối đa trong bài thi, giúp bạn tự tin bước vào kỳ thi ielts với kết quả như mong đợi.']",66f79d3af050d8d70ad24693,85
36,Edumall,Thiết kế mục tiêu sự nghiệp 5 năm,2022-05-16,12,599000.0,599000.0,5.0,4,126,Other,['nắm rõ nhu cầu các doanh nghiệp và năng lực của chính mình để vạch ra một lộ trình sự nghiệp rõ ràng.'],66f79d3af050d8d70ad24694,22
37,Edumall,Thấu hiểu và làm chủ cảm xúc,2022-03-08,13,599000.0,599000.0,5.0,4,125,Phát Triển Bản Thân,['hiểu về thông minh cảm xúc và nắm bắt những phương pháp để làm chủ cảm xúc hiệu quả'],66f79d3af050d8d70ad24695,15
38,Edumall,Kỹ năng chinh phục Nhà tuyển dụng,2022-03-14,12,599000.0,599000.0,5.0,4,137,Other,"['tự tin viết cv, cover letter ấn tượng và biết cách phỏng vấn chuyên nghiệp để chinh phục nhà tuyển dụng']",66f79d3af050d8d70ad24696,79
39,Edumall,Hiểu đúng đam mê - Chọn nghề phù hợp,2022-03-14,12,599000.0,599000.0,5.0,4,122,Phát Triển Bản Thân,"['hiểu rõ về điểm mạnh, điểm yếu, sở thích và thiên hướng nghề nghiệp của bản thân để chọn nghề phù hợp.']",66f79d3af050d8d70ad24697,19
40,Nguyễn Thái Sơn,Python Excel cho người đi làm,2022-06-03,65,699000.0,699000.0,5.0,14,281,Lập Trình - CNTT,"['các bạn sẽ có khả năng thăng tiến trong công việc và nâng cao thu nhập khi bạn tham gia khóa học python excel.', 'các bạn sẽ tự động hoá được các công việc lặp đi lặp lại, tăng năng suất và tiết kiệm thời gian, công sức trong công việc.', 'các bạn hoàn toàn tự tin làm được nhiều dự án về xử lý dữ liệu với lập trình python. xây dựng được những ứng dụng riêng, phần mềm riêng cho bản thân mình.', 'các bạn có thể dễ dàng kiếm được công việc như ý muốn nếu bạn có kiến thức lập trình. các bạn có thể làm freelancer hoặc ứng tuyển vào các công ty với lợi thế rất lớn là biết lập trình.', 'phương pháp học siêu nhanh, có thành quả luôn mà không lý thuyết tràn lan. rất phù hợp với thời đại công nghệ 4.0. bởi vì bây giờ thời gian quý như ""vàng"", như ""bạc"".', 'các bạn sẽ thành thạo ngôn ngữ lập trình python và có thể áp dụng cho nhiều lĩnh vực, ngành nghề khác nhau.']",66f79d3af050d8d70ad24698,54
41,Lê Xuân Tiến,Làm Mọi Thứ Với Photoshop - Thiết Kế Đồ Họa Thực Tiễn,2022-10-18,89,199000.0,749000.0,5.0,7,825,Thiết Kế,"['khóa học chi tiết cặn kẽ, đưa chân bạn chạm tới thiết kế chuyên nghiệp, ứng dụng vào quảng cáo & kinh doanh hiệu quả. tự tay làm nên những thiết kế sáng tạo, độc lạ, đẹp mắt.', 'chương trình đào tạo thiết kế đồ họa thực tiễn:', 'đào tạo thiết kế từ cơ bản đến nâng cao một cách chuyên nghiệp nhất.', 'hiểu sâu, thành thạo và trở thành chuyên gia photoshop.', 'nắm vững tư duy thiết kế làm ra những sản phẩm đẹp, sáng tạo.', 'trở thành designer chuyên nghiệp với tư duy vững.', 'chỉnh sửa kỹ sảo, hiệu ứng, ánh sáng.', 'mở rộng cơ hội việc làm, kiếm tiền với công việc freelancer tại nhà.', 'tự tay làm nên những thiết kế sáng tạo, độc lạ, đẹp mắt.', 'bài giảng được cập nhật mới liên tục.', 'lộ trình bài giảng với thời lượng 15+ giờ học. giúp học viên thành thạo công cụ, vững tư duy và làm được những sản phẩm thực tiễn.']",66f79d3af050d8d70ad24699,75
42,Trần Đình Dần (Master Trần),Bí mật kiếm tiền Youtube Content,2022-03-15,47,799000.0,799000.0,4.3,7,329,Marketing,"['biết những kiến thức mới nhất về kiếm tiền youtube từ tháng 12/2021.', 'nắm vững nguyên tắc kiếm tiền của youtube.', 'biết cách làm nội dung video chuẩn youtube yêu thích.', 'biết những kỹ thuật seo trên youtube để có view nhanh và mạnh.', 'biết cách bảo mật kênh, thách thức tất cả các hacker.', 'biết làm youtube như một website marketing cho sản phẩm dịch vụ của mình.', 'biết sử dụng thành thạo các công cụ phát triển kênh youtube và các phần mềm thiết kế cũng như dựng video xuất sắc.']",66f79d3af050d8d70ad2469a,26
43,Lê Tuấn Anh,Kinh doanh trên Shopee và cách quản lý,2022-04-03,10,399000.0,399000.0,5.0,8,102,Kinh Doanh - Khởi Nghiệp,"['nắm được quy trình kinh doanh trên shopee từ a-z.', 'xây dựng kỹ năng phân tích sản phẩm, phân tích đối thủ để cạnh tranh với các gian hàng khác.', 'chủ động trong việc tìm kiếm và nhập hàng hóa.']",66f79d3af050d8d70ad2469b,78
44,Nguyễn Thị Thanh Thủy,Thai giáo từ trái tim mới nhất 2021,2022-03-13,42,599000.0,599000.0,5.0,7,370,Hôn Nhân - Gia Đình,"['hiểu rõ bản chất của thai giáo, thai giáo đúng cách, thai giáo hiệu quả và biết cách thực hành thai giáo cho con mỗi ngày.', 'tạo tiền đề tốt cho mẹ bầu có động lực tìm kiếm học hỏi, trang bị đầy đủ kiến thức không chỉ lúc mang thai mà cả sau sinh, giúp tiết kiệm thời gian, chi phí tiền bạc và đảm bảo sức khỏe lâu dài của con.', 'mẹ bầu cũng hiểu rõ mình cần thay đổi những gì, cần làm gì là tốt nhất cho con.', 'giúp mẹ bầu tiết kiệm thời gian, chi phí tiền bạc và đảm bảo sức khỏe lâu dài của con.', 'khóa học có một điều đặc biệt, cũng là điều khác biệt, đó là khả năng đánh thức bản năng làm mẹ trong mỗi ông bố bà mẹ bầu, đơn giản mà rất đỗi gần gũi, thân thương. để rồi từ đó, không cần theo bất cứ khuôn mẫu nào, các bạn vẫn tự tin đồng hành và tương tác với con theo cách mà trái tim bạn mách bả']",66f79d3af050d8d70ad2469c,74
45,Nguyễn Thế Anh,"Xây dựng Quản trị hệ thống Lương, Thưởng và Đãi ngộ theo thị trường",2022-03-13,39,449000.0,449000.0,5.0,10,279,Kiến Thức Chuyên Ngành,"['hiểu từ cơ bản đến nâng cao nội dung hệ thống tổng đãi ngộ và vai trò của hệ thống.', 'xây dựng được đãi ngộ giống như công cụ chính hỗ trợ quá trình quản trị.', 'bắt đầu hiểu sâu về các học thuyết, các yếu tố và thành phần cấu thành chế độ đãi ngộ.', 'hiểu thực hành xây dựng phân tích công việc và mô tả công việc.', 'có cái nhìn tổng quan về xây dựng hệ thống cấp bậc công việc và cấu trúc lương.', 'hiểu về thị trường và chuẩn bị tham gia thị trường.', 'thực hành xây dựng hệ thống cấp bậc và cơ cấu lương chế độ theo thị trường.']",66f79d3af050d8d70ad2469d,23
46,Edumall,Lãnh đạo bản thân hiệu quả,2022-05-04,14,799000.0,799000.0,5.0,3,194,Phát Triển Bản Thân,"['nắm vững từ tư duy đến phương pháp về cách thiết lập mục tiêu và xây dựng kế hoạch khoa học.', 'hệ thống toàn bộ những phương pháp quản trị thời gian từ ngắn hạn đến dài hạn để đạt hiệu suất cao.']",66f79d3af050d8d70ad2469e,25
