Unnamed: 0,Author,Coursename,Last_updated,Lectures,Newfee,Oldfee,Rating,Sections,Time,Topic,Target,_id,Number_of_enroll
1,Edumall Learning,Thuyết trình chuyên nghiệp & ấn tượng,2024-08-08,28,99999.0,199999.0,5.0,6,28,Other,"['ôn tập kiến thức liên tục, tăng hiệu quả học tập.', 'học tập chủ động, học tập tương tác.', 'thực hành & nhận phản hồi xuyên suốt khoá học.', 'cung cấp kiến thức, kỹ năng & kinh nghiệm trong việc xây dựng & trình bày bài thuyết trình từ chuyên gia uy tín.']",66f79d3af050d8d70ad24671,38
2,Edumall Learning,Ứng tuyển thành công - Phỏng vấn hiệu quả,2024-04-26,36,99999.0,199999.0,5.0,6,36,Phát Triển Bản Thân,"['cung cấp kiến thức, kỹ năng & kinh nghiệm về ứng tuyển & phỏng vấn từ chuyên gia uy tín.', 'giải quyết tình huống thực tế trong quá trình ứng tuyển & phỏng vấn.', 'ôn tập kiến thức liên tục, tăng hiệu quả học tập.', 'học tập chủ động, học tập tương tác.', 'thực hành & nhận phản hồi xuyên suốt khoá học.']",66f79d3af050d8d70ad24672,45
3,Nguyễn Đình Hoa Cương,Procedural Python - Lập trình hàm trong Python,2024-07-03,82,199999.0,399999.0,5.0,8,78,Lập Trình - CNTT,"['nắm bắt sơ lược các khái niệm về hàm', 'thực hành xây dựng, sử dụng hàm và thư viện hàm', 'làm quen với thao tác đọc-ghi các dạng tập tin văn bản trong hàm của python', 'thực hành các bài lập trình thực tế trên nền tảng lập trình tương tác trực tuyến', 'học tập chủ động, học tập tương tác']",66f79d3af050d8d70ad24673,77
4,Nguyễn Đình Hoa Cương,Python Basics - Python Cơ Bản,2022-11-02,128,199999.0,399999.0,5.0,11,126,Lập Trình - CNTT,"['cung cấp kiến thức, kỹ năng và phương pháp lập trình', 'thực hành sử dụng các tính năng cốt lõi của python: cú pháp câu lệnh, vòng lặp, hàm dựng sẵn...', 'lập trình và chạy chương trình bằng các công cụ lập trình chuyên nghiệp: pycharm và google colab', 'lập trình trực tiếp trên platform', 'học tập chủ động, học tập tương tác']",66f79d3af050d8d70ad24674,52
5,Trần Thảo Vi,YOGA CHO BÀ BẦU - BÍ QUYẾT CHO MỘT THAI KỲ KHỎE MẠNH,2022-07-04,21,449000.0,449000.0,5.0,5,617,Thể Thao - Sức Khỏe,"['tăng cường sức đề kháng giúp mẹ bầu có sức khỏe ổn định suốt thai kỳ', 'điều hòa hơi thở, cung cấp đầy đủ lượng oxi cần thiết cho cơ thể', 'giảm đau lưng, nhức mỏi, đau hông, đau cổ vai gáy khi mang thai', 'giảm trầm cảm khi mang thai và sau sinh', 'giảm triệu chứng ốm nghén nặng', 'loại bỏ tiểu đường thai kỳ', 'tránh tình trạng tăng cân quá nhiều khi mang thai', 'giúp săn chắc cơ sàn chậu, sinh thường dễ dàng']",66f79d3af050d8d70ad24675,71
6,Trần Đình Dần (Master Trần),Quản Trị và Bán Hàng Đột Phá,2022-05-31,29,1299000.0,1299000.0,5.0,5,112,Phát Triển Bản Thân,"['cách tạo ra nhiều giá trị cho xã hội mà không tốn nhiều sức', 'biết cách tạo ra nhiều tiền trong tâm thức', 'vượt qua được nỗi sợ trong bán hàng', 'biết được quy trình bán hàng đột phá', 'biết cách xây dựng đội ngũ gắn kết', 'biết trở thành nhà lãnh đạo với những phẩm chất xuất sắc', 'biết các quy trình tiếp thị quan trong marketing mic', 'biết cách xây dựng hệ thống bán hàng b2b và b2c']",66f79d3af050d8d70ad24676,26
7,Lê Ngọc Quân,NLP-LẬP TRÌNH NGÔN NGỮ TƯ DUY,2022-06-02,32,999000.0,999000.0,5.0,4,666,Phát Triển Bản Thân,"['hiểu mình-hiểu người: hiểu chính chúng ta, hiểu tại sao chúng ta lại có tính cách, sự nghiệp cuộc sống như ngày hôm nay, thấu hiểu người khác, tính cách, cách cư xử của họ do đâu mà có.', 'nghệ thuật giao tiếp hiệu quả: trở thành người có khả năng kết nối đặc biệt, có các kĩ năng kết nối, có các mẫu ngôn ngữ quyền năng trong đàm phán, giao tiếp.', 'kinh doanh thành công: có các công cụ lập kế hoạch, thực hiện mục tiêu để thực hiện thành công hiệu quả công việc kinh doanh.', 'huấn luyện-trị liệu: sở hữu công cụ coaching mục tiêu, chữa lành tổn thương kì diệu và tuyệt vời nhất.']",66f79d3af050d8d70ad24677,22
8,Trần Thảo Vi,YOGA LEVEL UP ĐIÊU KHẮC CƠ THỂ KHỎE ĐẸP SAU SINH,2024-07-09,12,299000.0,299000.0,5.0,3,574,Thể Thao - Sức Khỏe,"['duy trì sự linh hoạt trong cơ thể, giúp cơ thể phục hồi sức sống.', 'đốt cháy mỡ trong mỗi bài tập', 'tăng cường cơ bụng và cơ lưng để có sức mạnh từ bên trong', 'giúp cột sống được linh hoạt hơn', 'chuyển hóa năng lượng tiêu cực thành tích cực bằng cách vận động và tĩnh tâm', 'điêu khắc cơ thể trở nên xinh đẹp, khỏe khoắn hơn']",66f79d3af050d8d70ad24678,59
9,Trần Thảo Vi,YOGA POWER TÁI TẠO NĂNG LƯỢNG CHO MẸ SAU SINH,2022-07-04,22,299000.0,299000.0,5.0,3,656,Other,"['giảm căng tức, căng thẳng, đau nhức ở cơ thể sau khi sinh', 'đốt cháy mỡ trong mỗi bài tập', 'tăng cường cơ bụng và cơ lưng để có sức mạnh từ bên trong', 'chuyển hóa năng lượng tiêu cực thành tích cực bằng cách vận động và tĩnh tâm', 'giảm lo lắng và trầm cảm', 'thời gian 30 phút phù hợp cho mẹ sau sinh 3-4 tháng hoặc người mới bắt đầu']",66f79d3af050d8d70ad24679,55
10,Phạm Hoàng Hưng,Kỹ năng phân tích biểu đồ chứng khoán chuyên nghiệp,2022-05-26,28,1999000.0,1999000.0,5.0,4,125,Đầu Tư,"['khóa học sẽ giúp bạn hoàn thiện kỹ năng phân tích biểu đồ bắt buộc phải có của một nhà đầu tư chứng khoán.', 'bạn sẽ hiểu được quy luật cung cầu và quy luật tăng giá của cổ phiếu.', 'không phải phụ thuộc vào chuyên gia tư vấn, chủ động phân tích và nắm bắt cơ hội bằng chính khả năng của mình']",66f79d3af050d8d70ad2467a,97
