level_0,index,Unnamed: 0,Author,Coursename,Last_updated,Lectures,Newfee,Oldfee,Rating,Sections,Time,Topic,Target,_id,Number_of_enroll
0,0.0,0.0,0.07095709570957096,0.7392197125256673,0.03396603396603397,0.0744047619047619,0.0,0.0005549999999999,1.0,0.0694444444444444,0.0058479532163742,0.6,0.9785661492978566,66f79d3af050d8d70ad24671,0.351063829787234
1,0.000683526999316473,0.000667556742323,0.07095709570957096,0.999315537303217,0.13786213786213786,0.0982142857142857,0.0,0.0005549999999999,1.0,0.0694444444444444,0.0116959064327485,0.6666666666666666,0.1345158906134516,66f79d3af050d8d70ad24672,0.4255319148936169
2,0.001367053998632946,0.0013351134846461,0.5346534653465347,0.650239561943874,0.06993006993006994,0.2351190476190476,0.0526592666354572,0.1116661111111111,1.0,0.0972222222222222,0.0423976608187134,0.26666666666666666,0.5750184774575019,66f79d3af050d8d70ad24673,0.7659574468085106
3,0.002050580997949419,0.0020026702269692,0.5346534653465347,0.6516084873374401,0.6783216783216783,0.3720238095238095,0.0526592666354572,0.1116661111111111,1.0,0.1388888888888888,0.077485380116959,0.26666666666666666,0.1352549889135255,66f79d3af050d8d70ad24674,0.5
4,0.002734107997265892,0.0026702269692923,0.7772277227722773,0.9308692676249144,0.7992007992007992,0.0535714285714285,0.1837813671504122,0.1388888888888889,1.0,0.0555555555555555,0.4364035087719298,0.8,0.90169992609017,66f79d3af050d8d70ad24675,0.7021276595744681
5,0.0034176349965823654,0.0033377837116154,0.7920792079207921,0.6570841889117043,0.8331668331668332,0.0773809523809523,0.6313851335517991,0.611111111111111,1.0,0.0555555555555555,0.067251461988304,0.6666666666666666,0.1574279379157428,66f79d3af050d8d70ad24676,0.2234042553191489
6,0.004101161995898838,0.0040053404539385,0.24092409240924093,0.5489390828199863,0.8311688311688312,0.0863095238095238,0.4734073336454273,0.4444444444444444,1.0,0.0416666666666666,0.4722222222222222,0.6666666666666666,0.2675535846267554,66f79d3af050d8d70ad24677,0.1808510638297872
7,0.004784688995215312,0.0046728971962616,0.7772277227722773,0.9315537303216974,0.06393606393606394,0.0267857142857142,0.1047924671972263,0.0555555555555555,1.0,0.0277777777777777,0.4049707602339181,0.8,0.1943828529194383,66f79d3af050d8d70ad24678,0.5744680851063829
8,0.005468215994531784,0.0053404539385847,0.7772277227722773,0.9322381930184804,0.7992007992007992,0.056547619047619,0.1047924671972263,0.0555555555555555,1.0,0.0277777777777777,0.4649122807017544,0.6,0.25277161862527714,66f79d3af050d8d70ad24679,0.5319148936170213
9,0.006151742993848257,0.0060080106809078,0.6089108910891089,0.4394250513347023,0.8381618381618382,0.0744047619047619,1.0,1.0,1.0,0.0416666666666666,0.0767543859649122,1.0,0.4678492239467849,66f79d3af050d8d70ad2467a,0.9787234042553192
